职位,薪资,工作时间,公司,工作地点,所在城市
人工智能算法工程师,15k-18k,1-3年,广州数鹏通科技有限公司,五山能源路2号节能与环保大楼,广州
资深/高级NLP算法工程师,30k-40k,不限,上海泛微网络科技股份有限公司,三鲁公路3419号,上海
后端算法工程师（外包）,11k-20k,3-5年,北京市商汤科技开发有限公司,商汤科技大厦,上海
语音算法工程师,10k-20k,在校/应届,北京安声科技有限公司,科兴,深圳
算法助理工程师,10k-20k,在校/应届,北京安声科技有限公司,科兴,深圳
语音前端算法工程师,15k-30k,不限,北京安声科技有限公司,科兴科学园D3栋801,深圳
诊断算法工程师,15k-20k,不限,深圳市翌日科技有限公司,新安街道大宝路美生慧谷生谷三楼（洪浪北c出口）,深圳
诊断算法工程师,15k-20k,1-3年,深圳市翌日科技有限公司,深圳市宝安区大宝路83号美生慧谷生谷3楼,深圳
算法工程师,30k-50k,3-5年,深圳微米信息服务有限公司,西丽创科路260号创智云城一期A7栋24层,深圳
语音合成算法工程师(HX) (MJ000539),25k-32k,在校/应届,北京红棉小冰科技有限公司,北四环西路67号中关村国际创新大厦606,北京
视觉算法工程师 (MJ000541),25k-32k,在校/应届,北京红棉小冰科技有限公司,北四环西路67号中关村国际创新大厦606,北京
语音合成算法工程师(LSH) (MJ000540),25k-32k,不限,北京红棉小冰科技有限公司,北四环西路67号中关村国际创新大厦606,北京
算法工程师,25k-40k,3-5年,傅利叶动力（北京）科技有限公司,苏州街大恒,北京
视觉算法工程师,15k-30k,不限,北京格灵深瞳信息技术股份有限公司,创新产业园J2栋C座2408,合肥
算法工程师（实习）,5k-8k,在校/应届,北京格灵深瞳信息技术股份有限公司,创新产业园J2栋C座2408,合肥
slam算法工程师,20k-40k,不限,北京格灵深瞳信息技术股份有限公司,天地邻枫创新产业园1号楼B栋,北京
深度学习算法工程师,20k-40k,不限,北京格灵深瞳信息技术股份有限公司,天地邻枫创新产业园1号楼B栋,北京
控制算法工程师,30k-60k,1-3年,丰疆智能（深圳）有限公司,卫星大厦1709,深圳
医学影像深度学习算法工程师,20k-40k,3-5年,颐邦（北京）智能科技有限公司,永泰中路25号,北京
图像算法工程师,25k-50k,不限,上海寻梦信息技术有限公司,娄山关路533号金虹桥国际中心,上海
飞控算法工程师,25k-35k,3-5年,深圳市多翼创新科技有限公司,大浪街道陶元社区元芬工业区B区A、B、C栋113栋1楼,深圳
AI算法工程师（南京）(J11064),15k-30k,不限,联通数字科技有限公司,南京,南京
